,full address,NPI,Site Name,Address,Room/Suite,Town/City,CountyFIPS,County Name,State,Zip Code,Latitude,Longitude,Area code,Phone number,Designated Service,License Number/Facility Operating Certificate,PFI,Medicaid Provider Identification Number,Commercial Provider Indicator,Medicaid Provider Indicator,CHP Indicator,HARP Indicator,Medicaid Advantage Indicator,Partial CAPS Indicator,MAP Indicator,PACE Indicator,FIDA Indicator,FIDAIDD Indicator,HIVSNP Indicator=,SIP-PL Indicator,NYSOH Standard Essential Health Plan (EP) Indicator/Basic Health Program Indicator,NYSOH EP Plus Adult Vision/Dental Indicator/Basic Health Program Adult Indicator,Commercial Non-MCO Medical Indicator 1,Commercial Non-MCO Medical Indicator 2,Commercial Non-MCO Medical Indicator 3,Commercial Non-MCO Medical Indicator 4,Commercial Non-MCO Medical Indicator 5,Commercial Non-MCO Medical Indicator 6,Commercial Non-MCO Medical Indicator 7,Commercial Non-MCO Medical Indicator 8,Service 1,Service 2,Service 3,Service 4,Service 5,Service 6,Service 7,Service 8,Service 9,Service 10,Service 11,Service 12,Service 13,Service 14,Service 15,Service 16,Service 17,Service 18,Service 19,Service 20,Service 21,Service 22,Service 23,Service 24,Service 25,NYSoH Medical Network Indicator 1,NYSoH Medical Network Indicator 2,NYSoH Medical Network Indicator 3,NYSoH Medical Network Indicator 4,NYSoH Medical Network Indicator 5,NYSoH Medical Network Indicator 6,NYSoH Medical Network Indicator 7,NYSoH Medical Network Indicator 8,NYSoH Medical Network Indicator 9,Servicing County 1,Servicing County 2,Servicing County 3,Servicing County 4,Servicing County 5,OASAS Program Reporting Unit Number,OASAS Provider Number,OMH ID,Plan Name,Provider Network Data System Identification Number,Quarter/Year,geometry,type
2,"1 BROOKDALE PLZ RM LL91, BROOKLYN, NY 11212",1548217763,FLUSHING HOSPITAL MEDICAL CENTER,1 BROOKDALE PLZ,RM LL91,BROOKLYN,36047,Kings,NY,11212,40.6559,-73.914,718,2406703,914,,,1780354,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (307273.1349615707 54330.81319598604),NPI-2
4,"1 FORDHAM PLZ, BRONX, NY 10458",1720414154,MONTEFIORE NEW ROCHELLE HOSPITAL,1 FORDHAM PLZ,,BRONX,36005,Bronx,NY,10458,40.8603,-73.8892,718,9332400,11,5904001H,1072,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,995,993,927,913,904,901,375,674,668,375,304,303,302,301,300,241,210,201,200,192,150,148,131,110,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,9999999999,Consolidated Health Plans: Cigna,168,Quarter 1 2021,POINT (309341.77659211366 77031.53626176476),NPI-2
6,"1 GUSTAVE L LEVY PL, NEW YORK, NY 10029",1013948595,MOUNT SINAI HOSPITAL,1 GUSTAVE L LEVY PL,,NEW YORK,36061,New York,NY,10029,40.790521,-73.953634,212,2416500,11,7002024H,1456,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,899,20,80,92,135,160,161,200,300,301,302,303,408,599,650,651,652,674,901,906,911,913,934,966,993,1,0,0,0,0,0,0,0,0,999,999,999,999,999,9999999999,9999999999,6399020,"Oxford Health Plans (NY), Inc.: Metro",143,Quarter 1 2021,POINT (303913.30307026475 69277.7115768047),NPI-2
7,"1 PROSPECT PARK W, BROOKLYN, NY 11215",1043251390,PARK SLOPE EMERGENCY PHYS SVC,1 PROSPECT PARK W,,BROOKLYN,36047,Kings,NY,11215,40.67244,-73.97065,718,3993504,823,99999999,999999,99999999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Oxford Health Plans (NY), Inc.: Metro",143,Quarter 1 2021,POINT (302481.54769885784 56164.37563754736),NPI-2
10,"100 E 77TH ST, NEW YORK, NY 10075",1316147176,LENOX HILL HOSPITAL,100 E 77TH ST,,NEW YORK,36061,New York,NY,10075,40.773851,-73.96071,212,4342000,11,7002017H,1450,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,899,20,70,80,92,135,149,161,200,210,300,302,355,408,599,650,651,652,653,670,901,911,913,966,993,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,6649020,Jefferson-Lewis Et. Al. School Employees’ Healthcare Plan DBA Jefferson Lewis Choice Plus Network,212,Quarter 1 2021,POINT (303316.91374236497 67426.23223508784),NPI-2
11,"100 N PORTLAND AVE, BROOKLYN, NY 11205",1043224355,KINGS COUNTY HOSPITAL-PROF FEE,100 N PORTLAND AVE,,BROOKLYN,36047,Kings,NY,11205,40.694916,-73.976331,718,9638000,914,267217,,246117,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"UnitedHealthcare of New York, Inc.",148,Quarter 1 2021,POINT (302000.5380196854 58660.14185765483),NPI-2
12,"100 W 57TH ST, NEW YORK, NY 10019",1083814974,TAKE CARE MED HLTH NY PC,100 W 57TH ST,,NEW YORK,36061,New York,NY,10019,40.764273,-73.977449,888,5356963,823,,999999,88888888,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,823,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"HealthPlus HP, LLC",128,Quarter 1 2021,POINT (301904.04917812237 66362.10624665333),NPI-2
13,"1000 10TH AVE, NEW YORK, NY 10019",1104982917,MOUNT SINAI WEST,1000 10TH AVE,,NEW YORK,36061,New York,NY,10019,40.769986,-73.987743,212,5234000,11,7002032H,1466,354967,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,899,70,160,165,192,201,250,300,301,302,303,376,200,599,640,674,781,913,0,951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,Partners Health Plan,78,Quarter 1 2021,POINT (301034.79611259967 66996.35354445779),NPI-2
14,"10031 4TH AVE, BROOKLYN, NY 11209",1285975797,PROHEALTH URG CARE O F FORT HAMILTON,10031 4TH AVE,,BROOKLYN,36047,Kings,NY,11209,40.612113,-74.034058,347,9097044,823,99999999,999999,88888888,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Healthfirst Health Plan, Inc. / Healthfirst PHSP, Inc.",52,Quarter 1 2021,POINT (297117.7875577093 49465.355537913994),NPI-2
16,"1009 BRIGHTON BEACH AVE, BROOKLYN, NY 11235",1548506884,HEALTH 4 U MEDICAL PLLC,1009 BRIGHTON BEACH AVE,,BROOKLYN,36047,Kings,NY,11235,40.578248,-73.959261,718,9758500,823,0,,99999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,999,999,999,999,999,,,,"Empire Healthchoice Assurance, Inc",100,Quarter 1 2021,POINT (303449.3739437803 45705.00979617185),NPI-2
